"annotation_id","annotator","choice","created_at","id","image","lead_time","ptz","updated_at"
31490,"9","","2025-10-15T16:26:55.240265Z",1036838,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/07/1756710008.000000000.jpg",30.403,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-15T16:26:55.240273Z"
31491,"9","Abnormal","2025-10-15T16:27:02.561202Z",1036839,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/08/1756713616.000000000.jpg",6.945,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-15T16:27:02.561209Z"
31492,"9","Abnormal","2025-10-15T16:27:09.104112Z",1036840,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/09/1756717257.000000000.jpg",6.047,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-15T16:27:09.104125Z"
31493,"9","Abnormal","2025-10-15T16:27:11.885629Z",1036841,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/10/1756720865.000000000.jpg",2.271,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-15T16:27:11.885644Z"
31494,"9","Abnormal","2025-10-15T16:27:14.704204Z",1036842,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/11/1756724472.000000000.jpg",2.29,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-15T16:27:14.704218Z"
31495,"9","Abnormal","2025-10-15T16:27:16.519294Z",1036843,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/12/1756728076.000000000.jpg",1.296,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-15T16:27:16.519303Z"
31496,"9","","2025-10-15T16:27:19.612932Z",1036844,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/13/1756731684.000000000.jpg",2.626,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-15T16:27:19.612941Z"
31664,"8","","2025-10-17T23:57:25.359030Z",1036845,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/14/1756735306.000000000.jpg",9.272,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-17T23:57:25.359038Z"
31665,"8","Abnormal","2025-10-17T23:57:39.937872Z",1036846,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/15/1756738908.000000000.jpg",13.87,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-17T23:57:39.937884Z"
31666,"8","Abnormal","2025-10-17T23:57:44.002781Z",1036847,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/16/1756742510.000000000.jpg",3.631,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-17T23:57:44.002788Z"
31667,"8","Abnormal","2025-10-17T23:57:47.983581Z",1036848,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/17/1756746119.000000000.jpg",3.563,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-17T23:57:47.983596Z"
31668,"8","Abnormal","2025-10-17T23:57:51.284621Z",1036849,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/18/1756749727.000000000.jpg",2.834,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-17T23:57:51.284636Z"
31669,"8","Abnormal","2025-10-17T23:57:54.025455Z",1036850,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/19/1756753327.000000000.jpg",2.151,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-17T23:57:54.025474Z"
31670,"8","Abnormal","2025-10-17T23:57:57.918778Z",1036851,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/20/1756756938.000000000.jpg",3.541,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-17T23:57:57.918787Z"
31671,"8","Abnormal","2025-10-17T23:58:01.518817Z",1036852,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/21/1756760548.000000000.jpg",3.038,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-17T23:58:01.518834Z"
31672,"8","Abnormal","2025-10-17T23:58:05.770941Z",1036853,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/22/1756764159.000000000.jpg",3.637,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-17T23:58:05.770957Z"
31673,"8","Abnormal","2025-10-17T23:58:09.312606Z",1036854,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/23/1756767766.000000000.jpg",3.18,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}","2025-10-17T23:58:09.312614Z"
